Code,Name,Unit,Energy_Kcal,Protein_g,Fat_g,Carb_g,Fiber_g,Calcium_mg,Iron_mg,Vit_A_mcg,Vit_C_mg,Vit_B1_mg,Vit_B2_mg
8036,Hải sâm,100g,90.0,21.5,0.3,0.2,0.0,118.0,1.4,102.0,0.0,0.01,0.02
8037,Hến,100g,45.0,4.5,0.7,5.1,0.0,144.0,1.6,0.0,0.0,0.0,0.12
8038,Lươn,100g,180.0,18.4,11.7,0.2,0.0,35.0,1.0,1800.0,0.0,0.15,0.31
8039,Mực khô,100g,291.0,60.1,4.5,2.5,0.0,27.0,5.6,0.0,0.0,0.13,0.17
8040,Mực tươi,100g,73.0,16.3,0.9,0.0,0.0,14.0,0.6,10.0,5.0,0.01,0.06
8041,Ốc bươu,100g,84.0,11.1,0.7,8.3,0.0,1310.0,0.0,0.0,0.0,0.0,0.0
8042,Ốc đá,100g,63.0,11.2,0.3,3.9,0.0,1660.0,0.0,0.0,0.0,0.0,0.0
8043,Ốc nhồi,100g,84.0,11.9,0.7,7.6,0.0,1357.0,0.0,0.0,0.0,0.05,0.17
8044,Ốc vặn,100g,72.0,12.2,0.7,4.3,0.0,1356.0,0.0,0.0,0.0,0.0,0.0
8045,"Rạm (muối, đồ)",100g,83.0,14.2,2.9,0.0,0.0,4820.0,0.0,0.0,0.0,0.0,0.0
8046,Rạm tươi,100g,77.0,12.9,2.8,0.0,0.0,3520.0,0.0,0.0,0.0,0.0,0.0
8047,Rươi,100g,89.0,12.4,4.4,0.0,0.0,66.0,1.8,0.0,0.0,0.0,0.0
8048,Sò,100g,78.0,9.5,2.3,4.9,0.0,37.0,1.9,53.0,0.0,0.03,0.15
8049,Tép gạo,100g,58.0,11.7,1.2,0.0,0.0,910.0,0.0,0.0,0.0,0.0,0.0
8050,Tép khô,100g,269.0,59.8,3.0,0.7,0.0,2000.0,5.5,0.0,0.0,0.03,0.07
8051,Tôm biển,100g,82.0,17.6,0.9,0.9,0.0,79.0,1.6,20.0,0.0,0.04,0.08
8052,Tôm đồng,100g,90.0,18.4,1.8,0.0,0.0,1120.0,2.2,15.0,0.0,0.02,0.03
8053,Tôm khô,100g,347.0,75.6,3.8,2.5,0.0,236.0,4.6,0.0,0.0,0.16,0.34
8054,Trai,100g,38.0,4.6,1.1,2.5,0.0,668.0,1.5,90.0,0.0,0.02,0.46
8055,Bánh phồng tôm rán,100g,676.0,1.6,59.2,34.1,0.0,175.0,0.0,0.0,0.0,0.0,0.0
8056,Bánh phồng tôm sống,100g,381.0,3.4,7.4,75.3,0.0,258.0,0.0,0.0,0.0,0.0,0.0
8057,Bột cá,100g,323.0,71.2,2.9,3.0,0.0,505.0,50.0,0.0,0.0,0.03,0.38
8058,Ruốc cá quả,100g,312.0,65.7,4.1,3.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
8059,Ruốc tôm,100g,305.0,65.5,3.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9001,Trứng gà,100g,166.0,14.8,11.6,0.5,0.0,55.0,2.7,700.0,0.0,0.16,0.31
9002,Lòng đỏ trứng gà,100g,327.0,13.6,29.8,1.0,0.0,134.0,7.0,960.0,0.0,0.32,0.52
9003,Lòng trắng trứng gà,100g,46.0,10.3,0.1,1.0,0.0,19.0,0.3,0.0,0.0,0.01,0.26
9004,Trứng vịt,100g,184.0,13.0,14.2,1.0,0.0,71.0,3.2,360.0,0.0,0.15,0.3
9005,Lòng đỏ trứng vịt,100g,364.0,13.6,32.3,4.8,0.0,146.0,5.6,1625.0,0.0,0.54,0.94
9006,Lòng trắng trứng vịt,100g,47.0,10.7,0.1,0.8,0.0,6.0,0.0,0.0,0.0,0.0,0.2
9007,Trứng chim cút,100g,154.0,13.1,11.1,0.4,0.0,64.0,3.65,155.0,0.0,0.13,0.79
9008,Trứng cá,100g,171.0,20.5,9.9,0.0,0.0,28.0,1.1,0.0,24.0,0.93,0.65
9009,Trứng cá muối,100g,274.0,24.6,17.9,3.5,0.0,275.0,11.88,561.0,0.0,0.19,0.62
9010,Trứng vịt lộn,100g,182.0,13.6,12.4,4.0,0.0,82.0,3.0,875.0,3.0,0.12,0.25
9011,Bột trứng,100g,563.0,44.0,42.2,1.8,0.0,186.0,9.3,1340.0,0.0,0.35,1.23
10001,Sữa bò tươi,100g,74.0,3.9,4.4,4.8,0.0,120.0,0.1,50.0,1.0,0.05,0.19
10002,Sữa dê tươi,100g,69.0,3.5,4.1,4.5,0.0,147.0,0.1,50.0,3.0,0.04,0.18
10003,Sữa mẹ (sữa người),100g,61.0,1.5,3.0,7.0,0.0,34.0,0.1,90.0,6.0,0.01,0.04
10004,Sữa chua (từ sữa bò),100g,61.0,3.3,3.7,3.6,0.0,120.0,0.1,25.0,1.0,0.04,0.2
10005,Sữa chua vớt béo,100g,103.0,3.5,0.0,22.3,1.2,143.0,0.06,4.0,1.0,0.04,0.2
10006,Sữa bột toàn phần,100g,494.0,27.0,26.0,38.0,0.0,939.0,1.1,318.0,10.0,0.24,1.31
10007,Sữa bột tách béo,100g,357.0,35.0,1.0,52.0,0.0,1400.0,0.45,6.0,6.0,0.42,0.6
10008,Sữa đặc có đường Việt Nam,100g,336.0,8.1,8.8,56.0,0.0,307.0,0.6,58.0,0.0,0.06,0.3
10009,Pho mát,100g,380.0,25.5,30.9,0.0,0.0,760.0,0.5,275.0,1.0,0.1,0.51
11001,Chuối nước đường,100g,58.0,0.5,0.0,13.9,1.3,12.0,0.6,0.0,9.0,0.0,0.0
11002,Dưa chuột hộp,100g,8.0,0.3,0.2,1.2,3.1,12.0,0.3,0.0,2.0,0.02,0.03
11003,Dứa hộp,100g,53.0,0.4,0.1,12.7,0.8,20.0,0.3,0.0,14.0,0.06,0.01
11004,Lạc chao dầu,100g,680.0,25.7,59.5,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11005,Mắc coọc nước đường,100g,56.0,0.2,0.0,13.7,0.7,20.0,0.4,0.0,14.0,0.0,0.0
11006,Mận nước đường,100g,64.0,0.4,0.1,15.4,0.9,16.0,0.86,0.0,0.0,0.02,0.04
11007,Mứt bí ngô,100g,198.0,0.5,0.0,49.1,0.7,32.0,0.0,0.0,0.0,0.0,0.0
11008,Mứt cam có vỏ,100g,218.0,0.4,0.0,54.2,2.2,28.0,0.26,0.0,0.0,0.03,0.01
11009,Mứt chuối,100g,218.0,0.7,0.0,53.9,1.3,28.0,0.3,0.0,0.0,0.0,0.0
11010,Mứt dứa,100g,208.0,0.5,0.0,51.5,0.4,20.0,0.3,0.0,13.0,0.09,0.05
11011,Unknown,100g,178.0,0.4,0.0,44.1,2.0,24.0,0.0,0.0,0.0,0.0,0.0
11012,Nhãn nước đường,100g,62.0,0.5,0.0,15.0,1.0,12.0,0.3,0.0,32.0,0.0,0.04
11013,Nước dứa hộp,100g,53.0,0.4,0.1,12.6,0.2,32.0,0.3,0.0,41.0,0.04,0.01
11014,Vải nước đường,100g,60.0,0.4,0.0,14.7,1.1,8.0,0.6,0.0,10.0,0.0,0.04
11015,Cá thu hộp,100g,207.0,24.8,12.0,0.0,0.0,50.0,1.6,0.0,0.0,0.02,0.1
11016,Cá trích hộp,100g,233.0,22.3,14.4,3.5,0.0,86.0,2.3,28.0,0.0,0.02,0.12
11017,Thịt bò hộp,100g,251.0,16.4,20.6,0.0,0.0,13.0,2.9,0.0,0.0,0.0,0.23
11018,Thịt gà hộp,100g,273.0,17.0,22.8,0.0,0.0,108.0,2.8,520.0,0.0,0.09,0.37
11019,Thịt lợn hộp,100g,344.0,17.3,29.3,2.7,0.0,9.0,1.2,0.0,0.0,0.19,0.21
11020,"Thịt lợn, thịt bò xay hộp",100g,244.0,16.0,20.0,0.0,0.0,8.0,2.1,8.0,1.0,0.26,0.19
11021,Thịt vịt hầm,100g,224.0,19.6,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,Bánh bích cốt,100g,346.0,12.3,1.3,71.3,0.8,39.0,2.7,86.0,0.0,0.36,0.18
12002,Bánh bích quy,100g,376.0,8.8,4.5,75.1,0.5,75.0,3.6,19.0,0.0,0.4,0.26
12003,Bánh chả,100g,395.0,3.4,6.6,80.5,1.0,42.0,1.9,0.0,0.0,0.04,0.07
12004,Bánh con cá,100g,368.0,7.5,2.2,79.6,0.2,54.0,2.9,0.0,0.0,0.13,0.13
12005,Bánh đậu xanh,100g,416.0,15.6,11.5,62.4,1.1,111.0,3.4,0.0,0.0,0.2,0.15
12006,Bánh kem xốp,100g,492.0,8.3,24.0,60.7,3.5,86.0,0.8,84.0,0.0,0.12,0.31
12007,Bánh khảo chay,100g,376.0,3.2,0.3,90.2,0.2,2.0,0.1,0.0,0.0,0.04,0.0
12008,Bánh quế,100g,435.0,8.3,10.7,76.4,0.3,33.0,2.0,12.0,0.0,0.04,1.9
12009,Bánh sô cô la,100g,449.0,3.9,17.6,68.8,0.0,58.0,3.7,13.0,0.0,0.04,0.17
12010,Bánh thỏi sô cô la,100g,543.0,4.9,30.4,62.5,0.0,280.0,1.5,0.0,0.0,0.03,0.01
12011,Bánh trứng nhện,100g,369.0,9.6,3.7,74.2,0.2,76.0,3.9,17.0,0.0,0.15,0.36
12012,Bột ca cao,100g,414.0,19.6,13.7,53.0,4.6,128.0,13.86,0.0,0.0,0.08,0.24
12013,Đường cát,100g,390.0,0.0,0.0,97.4,0.0,178.0,5.8,0.0,0.0,0.05,0.1
12014,Đường kính,100g,397.0,0.0,0.0,99.3,0.0,0.0,0.06,0.0,0.0,0.0,0.03
12015,Kẹo bơ cứng,100g,448.0,2.1,17.2,71.1,0.0,64.0,0.76,0.0,0.0,0.0,0.0
12016,Kẹo cà phê,100g,378.0,0.0,1.3,91.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12017,Kẹo cam chanh,100g,377.0,0.0,0.5,93.1,0.3,23.0,1.4,0.0,0.0,0.0,0.0
12018,Kẹo dừa mềm,100g,415.0,0.6,12.2,75.6,2.5,16.0,0.4,0.0,0.0,0.0,0.0
