Code,Name,Unit,Energy_Kcal,Protein_g,Fat_g,Carb_g,Fiber_g,Calcium_mg,Iron_mg,Vit_A_mcg,Vit_C_mg,Vit_B1_mg,Vit_B2_mg
5041,Quả bơ vỏ tím,100g,74.0,1.8,6.2,2.8,0.4,49.0,1.4,0.0,0.0,0.0,0.0
5042,Quả bơ vỏ xanh,100g,101.0,1.9,9.4,2.3,0.5,60.0,1.6,0.0,17.0,0.02,0.05
5043,Quả cóc,100g,58.0,1.8,0.0,12.8,0.9,38.0,1.6,0.0,0.0,0.0,0.0
5044,Quả thanh long,100g,40.0,1.3,0.0,8.7,1.8,11.0,0.6,0.0,10.0,0.0,0.0
5045,Quả trứng gà,100g,106.0,4.3,0.4,21.3,0.0,101.0,0.0,0.0,0.0,0.0,0.0
5046,Quất chín (cả vỏ),100g,26.0,0.9,0.0,5.5,4.1,124.0,0.3,0.0,43.0,0.1,0.02
5047,Quít,100g,39.0,0.8,0.3,8.3,0.6,35.0,0.4,0.0,55.0,0.08,0.03
5048,Sầu riêng,100g,132.0,2.5,1.6,26.9,1.4,20.0,0.9,0.0,37.0,0.27,0.29
5049,Sấu chín,100g,38.0,1.3,0.0,8.2,2.7,100.0,0.0,0.0,3.0,0.0,0.0
5050,Táo ta,100g,38.0,0.8,0.2,8.3,0.7,44.0,0.2,0.0,24.0,0.06,0.04
5051,Táo tây,100g,48.0,0.5,0.2,11.0,0.6,19.0,2.5,0.0,7.0,0.04,0.03
5052,Vải,100g,45.0,0.7,0.4,9.6,1.1,6.0,0.5,0.0,36.0,0.02,0.04
5053,Vải khô,100g,260.0,3.0,1.9,57.6,1.0,25.0,4.4,0.0,183.0,0.01,0.57
5054,Vú sữa,100g,42.0,1.0,0.0,9.4,2.3,68.0,0.4,0.0,5.0,0.01,0.02
5055,Xoài chín,100g,62.0,0.6,0.3,14.1,1.8,10.0,0.4,0.0,30.0,0.05,0.05
5056,Quả kiwi,100g,56.0,1.1,0.5,11.7,3.0,34.0,0.31,0.0,93.0,0.03,0.03
6001,Bơ,100g,756.0,0.5,83.5,0.5,0.0,12.0,0.1,600.0,0.0,0.01,0.04
6002,"Dầu thảo mộc (Lạc, vừng, cám...)",100g,897.0,0.0,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6003,Mỡ lợn muối,100g,827.0,2.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6004,Mỡ lợn nước,100g,896.0,0.0,99.6,0.0,0.0,2.0,0.3,0.0,0.0,0.02,0.0
6005,Bơ thực vật,100g,729.0,0.5,80.7,0.1,0.0,17.0,0.0,768.0,0.0,0.01,0.02
6006,Dầu bông,100g,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6007,Dầu cám gạo,100g,900.0,0.0,100.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0
6008,Dầu cọ,100g,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6009,Dầu dừa,100g,900.0,0.0,100.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
6010,Dầu đậu tương,100g,900.0,0.0,100.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
6011,Dầu lạc,100g,900.0,0.0,100.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
6012,Dầu mè,100g,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6013,Dầu ngô,100g,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6014,Dầu oliu,100g,900.0,0.0,100.0,0.0,0.0,1.0,0.56,0.0,0.0,0.0,0.0
7001,Thịt bê mỡ,100g,144.0,19.0,7.5,0.0,0.0,8.0,1.7,0.0,2.0,0.23,0.25
7002,Thịt bê nạc,100g,85.0,20.0,0.5,0.0,0.0,8.0,1.7,0.0,2.0,0.23,0.25
7003,Thịt bò loại I,100g,118.0,21.0,3.8,0.0,0.0,12.0,3.1,12.0,1.0,0.1,0.17
7004,Thịt bò loại II,100g,167.0,18.0,10.5,0.0,0.0,10.0,2.7,2.0,1.0,0.1,0.17
7005,"Thịt bò, lưng, nạc",100g,127.0,23.1,3.9,0.0,0.0,23.0,1.63,0.0,0.0,0.08,0.12
7006,"Thịt bò, lưng, nạc và mỡ",100g,182.0,21.5,10.7,0.0,0.0,5.0,1.78,0.0,0.0,0.1,0.15
7007,Thịt bồ câu ra ràng,100g,340.0,17.5,30.0,0.0,0.0,45.0,5.4,73.0,5.0,0.1,0.28
7008,Thịt chó sấn,100g,338.0,16.0,30.4,0.0,0.0,16.0,1.0,0.0,0.0,0.04,0.08
7009,Thịt chó vai,100g,230.0,18.0,17.6,0.0,0.0,20.0,0.7,0.0,0.0,0.04,0.08
7010,"Thịt cừu, nạc",100g,219.0,16.4,17.0,0.0,0.0,9.0,2.5,30.0,3.0,0.17,0.15
7011,"Thịt dê, nạc",100g,122.0,20.7,4.3,0.0,0.0,11.0,2.0,91.0,1.0,0.07,0.13
7012,Thịt gà rừng,100g,141.0,24.4,4.8,0.0,0.0,14.0,0.4,0.0,0.0,0.0,0.0
7013,Thịt gà ta,100g,199.0,20.3,13.1,0.0,0.0,12.0,1.5,120.0,4.0,0.15,0.16
7014,Thịt gà tây,100g,218.0,20.1,15.3,0.0,0.0,24.0,3.2,180.0,0.0,0.06,0.08
7015,Thịt hươu,100g,94.0,19.0,2.0,0.0,0.0,11.0,2.8,8.0,0.0,0.26,0.6
7016,Thịt lợn mỡ,100g,394.0,14.5,37.3,0.0,0.0,8.0,0.4,2.0,0.0,0.0,0.0
7017,Thịt lợn nạc,100g,139.0,19.0,7.0,0.0,0.0,7.0,0.96,2.0,1.0,0.9,0.18
7018,"Thịt lợn nửa nạc, nửa mỡ",100g,260.0,16.5,21.5,0.0,0.0,9.0,1.5,10.0,2.0,0.53,0.16
7019,Thịt ngỗng,100g,409.0,14.0,39.2,0.0,0.0,13.0,1.8,17.0,4.0,0.2,0.19
7020,Thịt ngựa,100g,176.0,21.5,10.0,0.0,0.0,13.0,3.1,37.0,1.0,0.07,0.1
7021,Thịt thỏ nhà,100g,158.0,21.5,8.0,0.0,0.0,21.0,1.6,10.0,0.0,0.08,0.06
7022,Thịt thỏ rừng,100g,103.0,23.5,1.0,0.0,0.0,17.0,4.8,0.0,0.0,0.09,0.06
7023,Thịt trâu,100g,97.0,20.4,1.4,0.9,0.0,12.0,1.61,0.0,0.0,0.04,0.2
7024,Thịt trâu bắp,100g,115.0,21.9,3.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
7025,Thịt trâu cổ,100g,112.0,20.9,3.1,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
7026,Thịt trâu đùi,100g,112.0,21.2,3.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
7027,Thịt trâu thăn,100g,121.0,22.8,3.3,0.0,0.0,26.0,3.3,5.0,0.0,0.06,0.16
7028,Thịt vịt,100g,267.0,17.8,21.8,0.0,0.0,13.0,1.8,270.0,3.0,0.07,0.15
7029,Bầu dục bò,100g,67.0,12.5,1.8,0.3,0.0,9.0,7.1,330.0,6.0,0.4,1.75
7030,Bầu dục lợn,100g,81.0,13.0,3.1,0.3,0.0,8.0,8.0,150.0,5.0,0.38,1.12
7031,Bì lợn,100g,118.0,23.3,2.7,0.0,0.0,11.0,0.4,0.0,0.0,0.29,0.05
7032,Chân giò lợn,100g,230.0,15.7,18.6,0.0,0.0,24.0,2.1,30.0,1.0,0.01,0.07
7033,Dạ dày bò,100g,97.0,14.8,4.2,0.0,0.0,150.0,0.9,0.0,0.0,0.04,0.2
7034,Dạ dày lợn,100g,85.0,14.6,2.9,0.0,0.0,8.0,1.4,0.0,0.0,0.05,0.18
7035,Đầu bò,100g,185.0,18.1,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7036,Đầu lợn,100g,335.0,13.4,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7037,Đuôi bò,100g,137.0,19.7,6.5,0.0,0.0,7.0,2.5,0.0,0.0,0.03,0.03
7038,Đuôi lợn,100g,467.0,10.8,47.1,0.0,0.0,18.0,0.99,0.0,0.0,0.21,0.11
7039,Gan bò,100g,109.0,17.4,3.1,3.0,0.0,5.0,9.0,5000.0,30.0,0.4,3.0
7040,Gan gà,100g,111.0,18.2,3.4,2.0,0.0,21.0,8.2,3290.0,7.0,0.38,1.63
7041,Gan lợn,100g,116.0,18.8,3.6,2.0,0.0,7.0,12.0,6000.0,18.0,0.4,2.11
